FIPS,County,State,Country,County and State,Lat,Long,Confirmed,Deaths,Active,Avg Household Size,Avg Number of Children per Household,Avg Number of Adults per Household,Total Population 65 and Older,Total Number of Workers 16 Years Old and Over,Percent of Workers Using Public Transport,Total Population,Total Population White,Percent of Population White,Total Population African American or Black,Percent of Population African American or Black,Total Population American Indian or Alaskan Native,Percent of Population American Indian or Alaskan Native,Total Population Asian,Percent of Population Asian,Total Population Native Hawaiian and Pacific Islander,Percent of Population Native Hawaiian and Pacific Islander
48209,Hays,Texas,US,"Hays County, Texas",30.05669873,-98.02944344,59,0,0,2.72,0.7,2.02,21285,102363,0.7,222631,196770,0.8838,8461,0.038,688,0.0031,3552,0.016,0,0
48213,Henderson,Texas,US,"Henderson County, Texas",32.21128872,-95.85846587,2,0,0,2.49,0.57,1.92,17400,31118,0.2,82299,74444,0.9046,5237,0.0636,13,0.0002,440,0.0053,0,0
48215,Hidalgo,Texas,US,"Hidalgo County, Texas",26.39418217,-98.18299696,99,0,0,3.55,1.24,2.31,90250,314986,0.3,865939,751719,0.8681,4285,0.0049,1514,0.0017,8735,0.0101,0,0
48231,Hunt,Texas,US,"Hunt County, Texas",33.12351514,-96.08551032,1,0,0,2.63,0.67,1.96,14522,38783,0,96493,77998,0.8083,8376,0.0868,1622,0.0168,1556,0.0161,0,0
48245,Jefferson,Texas,US,"Jefferson County, Texas",29.8832777,-94.16434171,59,2,0,2.53,0.64,1.89,35455,104361,0.6,255001,148260,0.5814,84690,0.3321,799,0.0031,10081,0.0395,0,0
48251,Johnson,Texas,US,"Johnson County, Texas",32.37877812,-97.36615819,21,1,0,2.84,0.79,2.05,22330,74342,0.2,171361,154440,0.9013,6372,0.0372,436,0.0025,2039,0.0119,0,0
48257,Kaufman,Texas,US,"Kaufman County, Texas",32.5991417,-96.28734728,9,0,0,2.92,0.85,2.07,14036,54235,0.3,128622,105024,0.8165,15867,0.1234,382,0.003,1800,0.014,198,0.0015
48291,Liberty,Texas,US,"Liberty County, Texas",30.15152688,-94.81205615,6,0,0,2.81,0.77,2.04,10537,29487,0.2,86323,66810,0.774,9386,0.1087,533,0.0062,164,0.0019,23,0.0003
48303,Lubbock,Texas,US,"Lubbock County, Texas",33.61008596,-101.8204789,180,6,0,2.53,0.64,1.89,36090,146010,0.9,307412,249837,0.8127,21991,0.0715,2704,0.0088,7174,0.0233,531,0.0017
48309,McLennan,Texas,US,"McLennan County, Texas",31.55255453,-97.20217694,53,1,0,2.6,0.68,1.92,34440,111590,0.5,254607,202647,0.7959,37263,0.1464,797,0.0031,4501,0.0177,28,0.0001
48329,Midland,Texas,US,"Midland County, Texas",31.86904128,-102.0315682,24,1,0,2.66,0.74,1.92,16793,82129,0.2,172578,142376,0.825,13430,0.0778,3069,0.0178,3415,0.0198,182,0.0011
48339,Montgomery,Texas,US,"Montgomery County, Texas",30.30079133,-95.50572772,161,3,0,2.78,0.77,2.01,69473,257431,1,590925,508494,0.8605,30101,0.0509,2222,0.0038,18352,0.0311,229,0.0004
48347,Nacogdoches,Texas,US,"Nacogdoches County, Texas",31.62017125,-94.61803994,18,2,0,2.49,0.63,1.86,8992,27342,0.1,65711,49757,0.7572,11019,0.1677,498,0.0076,1019,0.0155,71,0.0011
